"expected_value","variance","sd","var_95","var_99","tvar_99","var_995","var_999","category","horizon"
22113675004.4751,11598122119681956,107694577.949319,22293107725.8001,22359612609.5399,22393130830.1569,22385609488.018,22434312417.9258,"Costs","10-year (PV)"
36835256646.6249,0,0,36835256646.6249,36835256646.6249,36835256646.6249,36835256646.6249,36835256646.6249,"Returns","10-year (PV)"
3671004648.1623,11598122119681956,107694577.949319,3849211676.98794,3926287570.40419,3959490048.0472,3947250403.13529,4008108764.62022,"Net Revenue","10-year (PV)"
