"expected_value","variance","sd","var_95","var_99","tvar_99","var_995","var_999","category","horizon"
28504977818.1909,18993732402759384,137817750.68096,28731167191.7997,28823399598.967,28862825818.921,28854589615.1181,28912592402.9512,"Costs","10-year"
-4731925038.46867,18993732402759372,137817750.68096,-4505735664.85987,-4413503257.69258,-4374077037.73857,-4382313241.54153,-4324310453.70835,"Net Revenue","10-year"
47481289795.228,0,0,47481289795.228,47481289795.228,47481289795.228,47481289795.228,47481289795.228,"Returns","10-year"
