"scenario","horizon","annual_technical_premium","expected_value","variance","sd","p95","p99","tail_mean_99","min","max","stream","p05","p01","downside_tail_mean_01"
"Baseline","short_term_3y",535928605049.485,1289071880382.64,1.94530261478781e+20,13947410565.3624,1312147366213.59,1321814952623.12,1326589441619.62,1220925683823.89,1350148824698.64,"costs",NA,NA,NA
"Baseline","short_term_3y",535928605049.485,1751057303520.15,9.39627696219428e+20,30653347227.0065,1801862015160.48,1823786817445.82,1834271449458.26,1632158251943.15,1878802299799.85,"returns",NA,NA,NA
"Baseline","short_term_3y",535928605049.485,461985423137.512,1.13714082728805e+21,33721518757.1387,NA,NA,NA,331273104041.256,607246629189.101,"net_revenue",406978478312.783,383741910032.654,372114442432.818
"Baseline","long_term_10y",535928605049.485,4443282172329.11,2.31121681820624e+21,48075116413.8605,4522820711933.33,4556143767844.04,4572600881029.88,4208390088427.9,4653807358666.35,"costs",NA,NA,NA
"Baseline","long_term_10y",535928605049.485,6041010892481.41,3.36316985950043e+21,57992843174.8301,6136560462832.57,6177643954976.26,6197846069128.3,5812188652206.25,6267124996542.35,"returns",NA,NA,NA
"Baseline","long_term_10y",535928605049.485,1597728720152.31,5.69372689984974e+21,75456788295.3531,NA,NA,NA,1275154044772.4,1899061712354.53,"net_revenue",1473630948155.14,1419683946985.58,1392982086896.11
