"scenario","horizon","annual_technical_premium","expected_value","variance","sd","p95","p99","tail_mean_99","min","max","stream","p05","p01","downside_tail_mean_01"
"Baseline","short_term_3y",19939927111.3542,47961611106.3017,390528246162418304,624922592.136353,48993064199.9605,49442316024.4099,49638449087.3256,45115758642.823,50736468932.704,"costs",NA,NA,NA
"Baseline","short_term_3y",19939927111.3542,65154887819.8755,1302182294832465664,1141132023.40153,67041936696.0388,67840474968.0901,68239023440.9628,60844889389.1491,70081896184.682,"returns",NA,NA,NA
"Baseline","short_term_3y",19939927111.3542,17193276713.5738,1696085045503653632,1302338299.17716,NA,NA,NA,11946053552.1474,22289840406.8445,"net_revenue",15058801332.8968,14164143765.4483,13748151329.2443
"Baseline","long_term_10y",19939927111.3542,165318144649.587,4639871676796189696,2154036136.37195,168873444561.402,170421963812.222,171098011870.612,155508819267.126,174882759702.04,"costs",NA,NA,NA
"Baseline","long_term_10y",19939927111.3542,224769941487.011,4703279580651875328,2168704585.84194,228374683818.017,229898135051.545,230646831997.139,216493007560.361,234383874912.96,"returns",NA,NA,NA
"Baseline","long_term_10y",19939927111.3542,59451796837.4244,9370195861743968256,3061077565.45697,NA,NA,NA,47547234194.3768,72784486320.3403,"net_revenue",54437822927.6062,52391848480.5581,51445830989.7496
