"expected_value","variance","sd","var_95","var_99","tvar_99","var_995","var_999","category","horizon"
84323587209.8614,166213788118990176,407693252.481556,84992701898.9904,85265544329.4933,85382175197.1912,85357810812.3428,85529394988.6035,"Costs","10-year"
-11813083185.6522,166213788118990112,407693252.481556,-11143968496.5231,-10871126066.0203,-10754495198.3224,-10778859583.1707,-10607275406.91,"Net Revenue","10-year"
109246216358.538,0,0,109246216358.538,109246216358.538,109246216358.538,109246216358.538,109246216358.538,"Returns","10-year"
