"expected_value","variance","sd","var_95","var_99","tvar_99","var_995","var_999","category","horizon"
22113457723.726,11928197343135754,109216286.986583,22294144061.9682,22365518838.5719,22402235143.9773,22390331165.9962,22446140571.3852,"Costs","10-year (PV)"
28649644058.4859,0,0,28649644058.4859,28649644058.4859,28649644058.4859,28649644058.4859,28649644058.4859,"Returns","10-year (PV)"
3098229047.74157,11928197343135754,109216286.986583,3276202955.80873,3352975234.54729,3387921928.81507,3377206103.95721,3433067904.47371,"Net Revenue","10-year (PV)"
