"year","inflation","rf_rate","trend_factor","discount_factor","trended_freq","trended_sev","trended_pp","trended_tech_pp","pv_tech_pp","port_trended_tech","port_pv_tech"
2175,0.0212188672223312,0.0476661523947707,1.02121886722233,0.954502536627899,0.0589403619981558,87996.1321195707,5186.52388156504,8644.20646927507,8250.91700205835,429680113.953919,410130758.707581
2176,0.0185319978553768,0.0479259363684886,1.04014409307957,0.910849234188877,0.0589403619981558,89626.876251292,5282.64053101507,8804.40088502511,8019.48180361699,437642944.904211,398626741.214166
2177,0.0158451284884223,0.0481857203422066,1.05662530988088,0.868976953713419,0.0589403619981558,91047.0256215097,5366.34464898715,8943.90774831191,7772.04970942193,444577453.59827,386327561.317494
2178,0.0131582591214679,0.0484455043159245,1.0705286595026,0.828824149787735,0.0589403619981558,92245.0459768764,5436.95640241362,9061.59400402271,7510.46794610576,450427318.932279,373325039.655215
2179,0.0104713897545134,0.0487052882896425,1.08173858233963,0.79033085752765,0.0589403619981558,93210.9798062233,5493.88889198159,9156.48148663599,7236.64986526908,455143918.944899,359714283.758217
2180,0.00778452038755896,0.0489650722633604,1.09015939838786,0.75343867820341,0.0589403619981558,93936.5825788692,5536.65618206821,9227.76030344701,6952.55152580701,458686996.061199,345592524.021442
2181,0.0050976510206045,0.0492248562370783,1.09571665055767,0.718090763600025,0.0589403619981558,94415.4384949245,5564.88012310546,9274.80020517577,6660.14836157234,461025222.294808,331057953.91655
2182,0.00241078165365004,0.0494846402107963,1.09835818415644,0.684231799196024,0.0589403619981558,94643.0535018693,5578.29583401101,9297.15972335168,6361.41232492173,462136653.442587,316208593.85945
2183,-0.000276087713304417,0.0497444241845142,1.09805494095698,0.651807986241569,0.0589403619981558,94616.9237176479,5576.75573507006,9294.59289178343,6058.28987572856,462009063.190703,301141197.103686
2184,-0.00296295708025887,0.0500042081582322,1.09480145129516,0.620767022814964,0.0589403619981558,94336.5778336064,5560.23204717996,9267.0534119666,5752.68115681376,460640150.165779,285950214.607448
